"# Zscaler, Inc. — Consolidated Statements of Cash Flows"
"# Source: SEC EDGAR XBRL (10-K, as reported). Values in USD."
Line item,FY2022,FY2023,FY2024,FY2025
Net cash from operating activities,321912000,462343000,779846000,972453000
Net cash from investing activities,374063000,-259337000,-683180000,-427022000
Net cash from financing activities,41337000,45990000,64208000,420512000
Capital expenditures,69296000,97197000,144588000,164252000
Stock-based compensation,409562000,444834000,527676000,661350000
