"# CrowdStrike Holdings, Inc. — Consolidated Statements of Cash Flows"
"# Source: SEC EDGAR XBRL (10-K, as reported). Values in USD."
Line item,FY2023,FY2024,FY2025,FY2026
Net cash from operating activities,941007000,1166207000,1381727000,1612349000
Net cash from investing activities,-556658000,-340650000,-536588000,-764479000
Net cash from financing activities,77437000,93158000,107208000,132452000
Capital expenditures,235019000,176529000,254852000,302108000
Stock-based compensation,526504000,648665000,861391000,1096679000
